index,period,attendances,breaches,org_code
1,2017-03-01,21289,2879,RF4
2,2017-03-01,813,22,RF4
3,2017-03-01,2850,6,RF4
4,2017-03-01,30210,5902,R1H
5,2017-03-01,807,11,R1H
6,2017-03-01,11352,136,R1H
7,2017-03-01,4381,2,AD913
8,2017-03-01,19562,258,RYX
9,2017-03-01,17414,2030,RQM
10,2017-03-01,7817,86,RQM
11,2017-03-01,6654,1322,RJ6
12,2017-03-01,3844,140,RJ6
13,2017-03-01,1069,0,Y02696
14,2017-03-01,2147,0,NX122
15,2017-03-01,12649,473,RVR
16,2017-03-01,544,5,RVR
17,2017-03-01,12385,2092,RJ1
18,2017-03-01,832,0,RJ1
19,2017-03-01,2939,5,RJ1
20,2017-03-01,4068,0,Y03082
21,2017-03-01,10300,635,RQX
22,2017-03-01,4676,0,RY9
23,2017-03-01,10020,2632,RYJ
24,2017-03-01,4274,68,RYJ
25,2017-03-01,11156,190,RYJ
26,2017-03-01,17810,4153,RJZ
27,2017-03-01,2122,1,RJZ
28,2017-03-01,5027,186,RJZ
29,2017-03-01,9239,968,RAX
30,2017-03-01,1163,4,RAX
31,2017-03-01,18137,2993,RJ2
32,2017-03-01,6527,113,RJ2
33,2017-03-01,12137,4874,R1K
34,2017-03-01,16738,126,R1K
35,2017-03-01,9020,281,RP6
36,2017-03-01,5561,62,RAT
37,2017-03-01,15077,2170,RAP
38,2017-03-01,856,0,Y02973
39,2017-03-01,741,0,AF003
40,2017-03-01,657,0,AF002
41,2017-03-01,19072,3267,RAL
42,2017-03-01,3288,0,RAL
43,2017-03-01,1977,0,Y03047
44,2017-03-01,13430,1667,RJ7
45,2017-03-01,1195,0,RJ7
46,2017-03-01,2541,0,F84747
47,2017-03-01,5838,1889,RAS
48,2017-03-01,8448,59,RAS
49,2017-03-01,3125,0,Y03094
50,2017-03-01,3373,0,E84068
51,2017-03-01,8528,990,RKE
52,2017-03-01,12059,1252,RRV
53,2017-03-01,9912,0,Y02147
54,2017-03-01,2414,0,Y03201
55,2017-03-01,5592,0,NL7
56,2017-03-01,2644,0,8J094
57,2017-03-01,11981,1075,RDD
58,2017-03-01,6402,306,RC1
59,2017-03-01,3110,0,M85813
60,2017-03-01,5732,173,RQ3
61,2017-03-01,5360,272,RJF
62,2017-03-01,4580,0,RJF
63,2017-03-01,9567,766,RGT
64,2017-03-01,3439,2,RGT
65,2017-03-01,6889,631,RFS
66,2017-03-01,2410,4,NQ108
67,2017-03-01,7562,651,RDE
68,2017-03-01,4545,0,RDE
